uni,call_no,first_name,last_name,email,course_no,section_no,semester,section_year,grade
9,10,Fons,Aspinwall,faspinwall8@mlb.com,W4117,1,2,2019,F
10,8,Jaine,Bambridge,jbambridge9@reuters.com,W4111,1,1,2017,C+
7,8,Kip,Knightley,kknightley6@domainmarket.com,W4117,2,2,2016,B-
5,10,Ceil,Tethcote,ctethcote4@taobao.com,W3033,3,1,2020,C+
8,10,Crystie,McAlarney,cmcalarney7@uiuc.edu,W4117,2,3,2017,D
8,1,Crystie,McAlarney,cmcalarney7@uiuc.edu,W1007,2,3,2019,A+
2,2,Rolando,Dagnan,rdagnan1@godaddy.com,W3203,2,3,2016,A
3,5,Nike,Pim,npim2@tmall.com,E1101,3,1,2018,B-
10,9,Jaine,Bambridge,jbambridge9@reuters.com,W1007,2,3,2018,C+
9,2,Fons,Aspinwall,faspinwall8@mlb.com,W3203,2,1,2019,I
4,7,Clarine,Kruschov,ckruschov3@mapquest.com,W4117,3,2,2016,F
4,7,Clarine,Kruschov,ckruschov3@mapquest.com,W4111,3,2,2017,B+
6,3,Marge,Rowet,mrowet5@flickr.com,W3301,2,1,2020,F
8,7,Crystie,McAlarney,cmcalarney7@uiuc.edu,W1103,1,3,2019,C-
8,9,Crystie,McAlarney,cmcalarney7@uiuc.edu,W1007,3,2,2016,A-
8,4,Crystie,McAlarney,cmcalarney7@uiuc.edu,W3301,3,3,2017,C
9,2,Fons,Aspinwall,faspinwall8@mlb.com,W3801,1,1,2019,A+
1,1,Hortense,Moncur,hmoncur0@stanford.edu,W4117,1,2,2019,D
1,5,Hortense,Moncur,hmoncur0@stanford.edu,W3033,3,1,2017,F
2,2,Rolando,Dagnan,rdagnan1@godaddy.com,W4111,2,3,2017,F
8,6,Crystie,McAlarney,cmcalarney7@uiuc.edu,W3801,1,2,2018,C-
1,3,Hortense,Moncur,hmoncur0@stanford.edu,W4117,2,3,2018,B+
8,3,Crystie,McAlarney,cmcalarney7@uiuc.edu,W1007,1,1,2018,D-
9,10,Fons,Aspinwall,faspinwall8@mlb.com,W4111,1,3,2018,I
3,6,Nike,Pim,npim2@tmall.com,W3203,3,2,2016,A
7,10,Kip,Knightley,kknightley6@domainmarket.com,W3033,2,1,2016,B-
1,9,Hortense,Moncur,hmoncur0@stanford.edu,W1001,1,1,2020,A-
3,10,Nike,Pim,npim2@tmall.com,W3301,2,3,2016,A-
7,8,Kip,Knightley,kknightley6@domainmarket.com,W1007,3,3,2017,C
4,3,Clarine,Kruschov,ckruschov3@mapquest.com,W3203,2,2,2020,A-
2,7,Rolando,Dagnan,rdagnan1@godaddy.com,W1103,2,1,2017,C+
1,6,Hortense,Moncur,hmoncur0@stanford.edu,W3801,3,1,2019,A-
6,2,Marge,Rowet,mrowet5@flickr.com,W4117,1,2,2017,I
9,2,Fons,Aspinwall,faspinwall8@mlb.com,W4117,2,2,2016,B+
2,5,Rolando,Dagnan,rdagnan1@godaddy.com,W3033,1,1,2017,A+
8,1,Crystie,McAlarney,cmcalarney7@uiuc.edu,W3801,1,3,2019,A-
8,2,Crystie,McAlarney,cmcalarney7@uiuc.edu,W3801,2,2,2016,C
2,5,Rolando,Dagnan,rdagnan1@godaddy.com,W3301,3,2,2018,C
2,3,Rolando,Dagnan,rdagnan1@godaddy.com,W1007,2,2,2017,D
8,5,Crystie,McAlarney,cmcalarney7@uiuc.edu,W3033,1,2,2020,D+
4,3,Clarine,Kruschov,ckruschov3@mapquest.com,W3203,3,1,2019,C
6,8,Marge,Rowet,mrowet5@flickr.com,E1101,2,2,2018,C
5,5,Ceil,Tethcote,ctethcote4@taobao.com,W3801,3,1,2018,F
3,10,Nike,Pim,npim2@tmall.com,W4117,2,3,2019,F
10,2,Jaine,Bambridge,jbambridge9@reuters.com,W3033,1,2,2019,A+
9,2,Fons,Aspinwall,faspinwall8@mlb.com,W1001,2,2,2020,I
9,6,Fons,Aspinwall,faspinwall8@mlb.com,E1101,2,1,2019,C+
6,8,Marge,Rowet,mrowet5@flickr.com,W4111,2,3,2016,D-
2,3,Rolando,Dagnan,rdagnan1@godaddy.com,W3301,1,2,2020,A+
3,2,Nike,Pim,npim2@tmall.com,W3203,2,2,2016,F
7,8,Kip,Knightley,kknightley6@domainmarket.com,W3801,1,3,2020,A
10,10,Jaine,Bambridge,jbambridge9@reuters.com,W1007,2,3,2017,D+
5,3,Ceil,Tethcote,ctethcote4@taobao.com,W3033,3,1,2019,D+
1,5,Hortense,Moncur,hmoncur0@stanford.edu,W3301,1,1,2017,D+
1,10,Hortense,Moncur,hmoncur0@stanford.edu,W3801,1,1,2020,B-
5,4,Ceil,Tethcote,ctethcote4@taobao.com,W3801,3,3,2017,C+
3,1,Nike,Pim,npim2@tmall.com,W1007,1,1,2016,D-
2,2,Rolando,Dagnan,rdagnan1@godaddy.com,W1001,3,2,2018,A+
2,2,Rolando,Dagnan,rdagnan1@godaddy.com,W1103,3,2,2017,A+
2,3,Rolando,Dagnan,rdagnan1@godaddy.com,E1101,2,1,2018,D-
4,3,Clarine,Kruschov,ckruschov3@mapquest.com,W3301,2,1,2020,A+
5,5,Ceil,Tethcote,ctethcote4@taobao.com,W1001,1,3,2016,F
8,7,Crystie,McAlarney,cmcalarney7@uiuc.edu,W3301,2,2,2016,A+
5,10,Ceil,Tethcote,ctethcote4@taobao.com,W3301,2,3,2018,A+
7,1,Kip,Knightley,kknightley6@domainmarket.com,W3033,2,2,2018,C+
6,3,Marge,Rowet,mrowet5@flickr.com,W1001,3,1,2019,C
5,4,Ceil,Tethcote,ctethcote4@taobao.com,W3033,1,3,2019,C
5,6,Ceil,Tethcote,ctethcote4@taobao.com,W4117,1,1,2018,C
9,8,Fons,Aspinwall,faspinwall8@mlb.com,W4111,1,2,2020,D+
9,8,Fons,Aspinwall,faspinwall8@mlb.com,W4117,3,2,2017,D-
7,9,Kip,Knightley,kknightley6@domainmarket.com,W3301,2,2,2017,D+
4,7,Clarine,Kruschov,ckruschov3@mapquest.com,W4117,1,1,2017,C
8,9,Crystie,McAlarney,cmcalarney7@uiuc.edu,W1001,2,2,2018,C
2,5,Rolando,Dagnan,rdagnan1@godaddy.com,W4111,1,3,2017,I
4,3,Clarine,Kruschov,ckruschov3@mapquest.com,W1001,3,3,2020,D
8,8,Crystie,McAlarney,cmcalarney7@uiuc.edu,W3801,2,3,2017,B+
4,5,Clarine,Kruschov,ckruschov3@mapquest.com,E1101,2,2,2018,A+
1,5,Hortense,Moncur,hmoncur0@stanford.edu,W1001,2,2,2018,D+
1,2,Hortense,Moncur,hmoncur0@stanford.edu,W1007,2,1,2018,A+
8,4,Crystie,McAlarney,cmcalarney7@uiuc.edu,W3301,1,1,2016,B-
8,8,Crystie,McAlarney,cmcalarney7@uiuc.edu,W4111,3,1,2019,C
10,10,Jaine,Bambridge,jbambridge9@reuters.com,W3203,1,2,2019,A+
4,7,Clarine,Kruschov,ckruschov3@mapquest.com,W3801,1,1,2020,A+
6,8,Marge,Rowet,mrowet5@flickr.com,W1007,1,2,2016,B+
10,6,Jaine,Bambridge,jbambridge9@reuters.com,W4111,2,3,2019,C+
6,9,Marge,Rowet,mrowet5@flickr.com,W3801,2,3,2019,B+
5,5,Ceil,Tethcote,ctethcote4@taobao.com,E1101,1,2,2019,D+
9,7,Fons,Aspinwall,faspinwall8@mlb.com,E1101,1,2,2018,D+
2,6,Rolando,Dagnan,rdagnan1@godaddy.com,W3203,2,3,2020,C
9,8,Fons,Aspinwall,faspinwall8@mlb.com,W3033,1,1,2017,C
4,8,Clarine,Kruschov,ckruschov3@mapquest.com,W4117,2,2,2019,A
8,5,Crystie,McAlarney,cmcalarney7@uiuc.edu,W3033,3,2,2020,B-
10,10,Jaine,Bambridge,jbambridge9@reuters.com,W3203,3,2,2020,B
1,2,Hortense,Moncur,hmoncur0@stanford.edu,W4111,2,2,2017,D+
3,7,Nike,Pim,npim2@tmall.com,W1103,2,2,2016,D-
10,8,Jaine,Bambridge,jbambridge9@reuters.com,W3301,3,1,2020,D+
6,10,Marge,Rowet,mrowet5@flickr.com,W4111,3,3,2020,I
2,1,Rolando,Dagnan,rdagnan1@godaddy.com,W4111,2,2,2016,I
10,3,Jaine,Bambridge,jbambridge9@reuters.com,W3203,3,3,2019,C
2,3,Rolando,Dagnan,rdagnan1@godaddy.com,W3203,1,1,2018,B
5,5,Ceil,Tethcote,ctethcote4@taobao.com,W4117,1,1,2017,B
6,10,Marge,Rowet,mrowet5@flickr.com,W1007,2,3,2017,A-
2,2,Rolando,Dagnan,rdagnan1@godaddy.com,W4111,3,1,2019,D-
10,7,Jaine,Bambridge,jbambridge9@reuters.com,W1001,3,2,2019,B-
2,8,Rolando,Dagnan,rdagnan1@godaddy.com,W3801,3,1,2018,A+
6,5,Marge,Rowet,mrowet5@flickr.com,W4117,2,2,2019,C
7,10,Kip,Knightley,kknightley6@domainmarket.com,W3033,3,1,2016,B-
5,5,Ceil,Tethcote,ctethcote4@taobao.com,W4117,1,3,2018,D
5,9,Ceil,Tethcote,ctethcote4@taobao.com,W3301,3,3,2019,A+
1,7,Hortense,Moncur,hmoncur0@stanford.edu,W1001,2,1,2017,A
6,9,Marge,Rowet,mrowet5@flickr.com,W3301,1,1,2016,D
2,2,Rolando,Dagnan,rdagnan1@godaddy.com,W3203,3,3,2019,B+
7,4,Kip,Knightley,kknightley6@domainmarket.com,W3301,2,2,2020,I
6,4,Marge,Rowet,mrowet5@flickr.com,W4111,3,1,2017,B-
3,3,Nike,Pim,npim2@tmall.com,W4111,3,2,2020,A
9,9,Fons,Aspinwall,faspinwall8@mlb.com,W3033,2,2,2020,C
8,5,Crystie,McAlarney,cmcalarney7@uiuc.edu,W3203,2,3,2019,B
7,7,Kip,Knightley,kknightley6@domainmarket.com,E1101,3,1,2017,A
3,3,Nike,Pim,npim2@tmall.com,W1103,3,3,2018,B
8,10,Crystie,McAlarney,cmcalarney7@uiuc.edu,W4117,2,2,2016,B
10,4,Jaine,Bambridge,jbambridge9@reuters.com,W1103,3,1,2020,A
3,9,Nike,Pim,npim2@tmall.com,W4117,3,2,2016,B-
5,1,Ceil,Tethcote,ctethcote4@taobao.com,W4117,2,3,2018,A
9,9,Fons,Aspinwall,faspinwall8@mlb.com,W1103,1,2,2018,B+
5,9,Ceil,Tethcote,ctethcote4@taobao.com,W1007,1,2,2016,B+
2,9,Rolando,Dagnan,rdagnan1@godaddy.com,W3203,1,2,2017,D-
3,7,Nike,Pim,npim2@tmall.com,W4111,3,2,2018,B
2,2,Rolando,Dagnan,rdagnan1@godaddy.com,W3203,2,3,2018,B+
8,5,Crystie,McAlarney,cmcalarney7@uiuc.edu,W3033,3,3,2018,I
2,2,Rolando,Dagnan,rdagnan1@godaddy.com,W1103,1,1,2017,A-
6,9,Marge,Rowet,mrowet5@flickr.com,W1007,1,2,2018,C-
1,5,Hortense,Moncur,hmoncur0@stanford.edu,W3801,1,2,2020,I
