uni,lastname,firstname,call_no,course_no,section_no,semester,section_year,grade
16,Bellany,Hertha,4,W4236,001,2,2020,F
4,McAllaster,Xaviera,8,W3203,004,2,2021,F
11,Scheffel,Eldon,10,W3203,004,2,2022,D
1,McDonald,Jarrid,3,W4236,002,1,2019,A
12,Purchall,Hadlee,1,W1004,002,2,2020,D
7,O'Hartnedy,Andree,1,W1004,002,2,2020,C
15,Tapenden,Denver,7,W1004,002,1,2020,B
20,Duckworth,Noreen,4,W4236,001,2,2020,B
20,Duckworth,Noreen,4,W4236,001,2,2020,F
3,Sewart,Jaquenette,3,W4236,002,1,2019,D
12,Purchall,Hadlee,2,W1007,001,1,2021,F
11,Scheffel,Eldon,17,W4111,004,3,2020,B
18,Mapplebeck,Gael,13,W4117,004,3,2021,F
16,Bellany,Hertha,1,W1004,002,2,2020,F
9,Baddiley,Jens,16,W4995,002,1,2022,D
15,Tapenden,Denver,13,W4117,004,3,2021,D
20,Duckworth,Noreen,15,W4111,001,1,2020,B
3,Sewart,Jaquenette,11,W4111,003,2,2019,A
16,Bellany,Hertha,6,W3134,003,1,2020,B
16,Bellany,Hertha,6,W3134,003,1,2020,D
13,Hatherill,Petronille,14,W1004,004,2,2019,B
14,Wrankmore,Glen,10,W3203,004,2,2022,D
12,Purchall,Hadlee,17,W4111,004,3,2020,F
15,Tapenden,Denver,15,W4111,001,1,2020,C
12,Purchall,Hadlee,6,W3134,003,1,2020,C
10,Feechum,Avictor,19,W1004,001,1,2020,B
1,McDonald,Jarrid,8,W3203,004,2,2021,B
20,Duckworth,Noreen,18,W4236,002,1,2021,C
8,Stirley,Rosamund,1,W1004,002,2,2020,C
10,Feechum,Avictor,19,W1004,001,1,2020,F
11,Scheffel,Eldon,16,W4995,002,1,2022,D
14,Wrankmore,Glen,5,E6156,004,1,2022,D
9,Baddiley,Jens,12,W1004,002,2,2020,D
12,Purchall,Hadlee,8,W3203,004,2,2021,A
16,Bellany,Hertha,20,W3134,003,1,2022,F
18,Mapplebeck,Gael,16,W4995,002,1,2022,A
16,Bellany,Hertha,13,W4117,004,3,2021,A
1,McDonald,Jarrid,14,W1004,004,2,2019,A
13,Hatherill,Petronille,11,W4111,003,2,2019,B
15,Tapenden,Denver,3,W4236,002,1,2019,C
15,Tapenden,Denver,2,W1007,001,1,2021,A
20,Duckworth,Noreen,16,W4995,002,1,2022,D
16,Bellany,Hertha,10,W3203,004,2,2022,B
17,Richardeau,Harriett,20,W3134,003,1,2022,C
7,O'Hartnedy,Andree,10,W3203,004,2,2022,C
18,Mapplebeck,Gael,15,W4111,001,1,2020,A
20,Duckworth,Noreen,19,W1004,001,1,2020,C
4,McAllaster,Xaviera,15,W4111,001,1,2020,D
2,Saffe,Puff,10,W3203,004,2,2022,C
2,Saffe,Puff,17,W4111,004,3,2020,A
6,Wybern,Reynolds,5,E6156,004,1,2022,A
9,Baddiley,Jens,1,W1004,002,2,2020,D
17,Richardeau,Harriett,13,W4117,004,3,2021,F
9,Baddiley,Jens,2,W1007,001,1,2021,B
6,Wybern,Reynolds,13,W4117,004,3,2021,C
14,Wrankmore,Glen,18,W4236,002,1,2021,C
11,Scheffel,Eldon,15,W4111,001,1,2020,A
17,Richardeau,Harriett,16,W4995,002,1,2022,F
9,Baddiley,Jens,3,W4236,002,1,2019,B
15,Tapenden,Denver,11,W4111,003,2,2019,D
18,Mapplebeck,Gael,13,W4117,004,3,2021,C
20,Duckworth,Noreen,12,W1004,002,2,2020,C
1,McDonald,Jarrid,12,W1004,002,2,2020,A
7,O'Hartnedy,Andree,14,W1004,004,2,2019,C
13,Hatherill,Petronille,6,W3134,003,1,2020,B
3,Sewart,Jaquenette,3,W4236,002,1,2019,D
12,Purchall,Hadlee,3,W4236,002,1,2019,A
15,Tapenden,Denver,13,W4117,004,3,2021,D
13,Hatherill,Petronille,8,W3203,004,2,2021,F
10,Feechum,Avictor,20,W3134,003,1,2022,B
11,Scheffel,Eldon,14,W1004,004,2,2019,C
12,Purchall,Hadlee,6,W3134,003,1,2020,F
19,Upfold,Kailey,19,W1004,001,1,2020,A
2,Saffe,Puff,4,W4236,001,2,2020,D
6,Wybern,Reynolds,8,W3203,004,2,2021,D
18,Mapplebeck,Gael,17,W4111,004,3,2020,B
4,McAllaster,Xaviera,13,W4117,004,3,2021,A
6,Wybern,Reynolds,19,W1004,001,1,2020,C
15,Tapenden,Denver,8,W3203,004,2,2021,C
20,Duckworth,Noreen,16,W4995,002,1,2022,A
11,Scheffel,Eldon,2,W1007,001,1,2021,F
19,Upfold,Kailey,16,W4995,002,1,2022,C
2,Saffe,Puff,4,W4236,001,2,2020,D
16,Bellany,Hertha,17,W4111,004,3,2020,A
3,Sewart,Jaquenette,3,W4236,002,1,2019,A
13,Hatherill,Petronille,13,W4117,004,3,2021,C
3,Sewart,Jaquenette,2,W1007,001,1,2021,F
17,Richardeau,Harriett,5,E6156,004,1,2022,C
19,Upfold,Kailey,18,W4236,002,1,2021,A
17,Richardeau,Harriett,20,W3134,003,1,2022,B
19,Upfold,Kailey,10,W3203,004,2,2022,F
12,Purchall,Hadlee,2,W1007,001,1,2021,F
10,Feechum,Avictor,7,W1004,002,1,2020,C
11,Scheffel,Eldon,1,W1004,002,2,2020,B
18,Mapplebeck,Gael,16,W4995,002,1,2022,B
2,Saffe,Puff,4,W4236,001,2,2020,C
2,Saffe,Puff,12,W1004,002,2,2020,A
3,Sewart,Jaquenette,7,W1004,002,1,2020,D
12,Purchall,Hadlee,15,W4111,001,1,2020,D
2,Saffe,Puff,14,W1004,004,2,2019,A
19,Upfold,Kailey,15,W4111,001,1,2020,A
15,Tapenden,Denver,2,W1007,001,1,2021,A
4,McAllaster,Xaviera,17,W4111,004,3,2020,A
16,Bellany,Hertha,14,W1004,004,2,2019,F
10,Feechum,Avictor,12,W1004,002,2,2020,A
7,O'Hartnedy,Andree,1,W1004,002,2,2020,D
8,Stirley,Rosamund,10,W3203,004,2,2022,A
13,Hatherill,Petronille,10,W3203,004,2,2022,F
14,Wrankmore,Glen,7,W1004,002,1,2020,F
1,McDonald,Jarrid,4,W4236,001,2,2020,A
5,Yakubovich,Jaclyn,2,W1007,001,1,2021,A
5,Yakubovich,Jaclyn,13,W4117,004,3,2021,B
5,Yakubovich,Jaclyn,17,W4111,004,3,2020,A
20,Duckworth,Noreen,3,W4236,002,1,2019,C
4,McAllaster,Xaviera,11,W4111,003,2,2019,D
1,McDonald,Jarrid,8,W3203,004,2,2021,C
6,Wybern,Reynolds,20,W3134,003,1,2022,B
15,Tapenden,Denver,5,E6156,004,1,2022,D
5,Yakubovich,Jaclyn,8,W3203,004,2,2021,C
7,O'Hartnedy,Andree,2,W1007,001,1,2021,C
19,Upfold,Kailey,16,W4995,002,1,2022,C
11,Scheffel,Eldon,11,W4111,003,2,2019,C
15,Tapenden,Denver,11,W4111,003,2,2019,C
1,McDonald,Jarrid,3,W4236,002,1,2019,F
13,Hatherill,Petronille,1,W1004,002,2,2020,B
13,Hatherill,Petronille,1,W1004,002,2,2020,C
11,Scheffel,Eldon,14,W1004,004,2,2019,B
10,Feechum,Avictor,7,W1004,002,1,2020,B
8,Stirley,Rosamund,14,W1004,004,2,2019,A
4,McAllaster,Xaviera,6,W3134,003,1,2020,A
20,Duckworth,Noreen,6,W3134,003,1,2020,F
12,Purchall,Hadlee,4,W4236,001,2,2020,F
10,Feechum,Avictor,2,W1007,001,1,2021,B
11,Scheffel,Eldon,20,W3134,003,1,2022,B
17,Richardeau,Harriett,7,W1004,002,1,2020,A
8,Stirley,Rosamund,10,W3203,004,2,2022,F
18,Mapplebeck,Gael,16,W4995,002,1,2022,B
5,Yakubovich,Jaclyn,17,W4111,004,3,2020,A
12,Purchall,Hadlee,16,W4995,002,1,2022,F
19,Upfold,Kailey,11,W4111,003,2,2019,D
4,McAllaster,Xaviera,2,W1007,001,1,2021,F
1,McDonald,Jarrid,11,W4111,003,2,2019,A
13,Hatherill,Petronille,12,W1004,002,2,2020,C
7,O'Hartnedy,Andree,2,W1007,001,1,2021,C
12,Purchall,Hadlee,12,W1004,002,2,2020,B
18,Mapplebeck,Gael,18,W4236,002,1,2021,A
5,Yakubovich,Jaclyn,2,W1007,001,1,2021,F
13,Hatherill,Petronille,16,W4995,002,1,2022,A
5,Yakubovich,Jaclyn,2,W1007,001,1,2021,C
4,McAllaster,Xaviera,5,E6156,004,1,2022,C
5,Yakubovich,Jaclyn,10,W3203,004,2,2022,A
2,Saffe,Puff,6,W3134,003,1,2020,A
14,Wrankmore,Glen,13,W4117,004,3,2021,C
4,McAllaster,Xaviera,9,W3113,003,2,2019,B
15,Tapenden,Denver,2,W1007,001,1,2021,A
17,Richardeau,Harriett,14,W1004,004,2,2019,F
15,Tapenden,Denver,6,W3134,003,1,2020,A
16,Bellany,Hertha,1,W1004,002,2,2020,A
20,Duckworth,Noreen,12,W1004,002,2,2020,B
16,Bellany,Hertha,16,W4995,002,1,2022,F
16,Bellany,Hertha,18,W4236,002,1,2021,F
6,Wybern,Reynolds,4,W4236,001,2,2020,C
11,Scheffel,Eldon,1,W1004,002,2,2020,D
8,Stirley,Rosamund,9,W3113,003,2,2019,A
1,McDonald,Jarrid,2,W1007,001,1,2021,A
11,Scheffel,Eldon,20,W3134,003,1,2022,C
18,Mapplebeck,Gael,8,W3203,004,2,2021,F
20,Duckworth,Noreen,12,W1004,002,2,2020,A
14,Wrankmore,Glen,20,W3134,003,1,2022,A
1,McDonald,Jarrid,13,W4117,004,3,2021,C
12,Purchall,Hadlee,4,W4236,001,2,2020,F
18,Mapplebeck,Gael,6,W3134,003,1,2020,A
19,Upfold,Kailey,1,W1004,002,2,2020,B
14,Wrankmore,Glen,6,W3134,003,1,2020,B
5,Yakubovich,Jaclyn,1,W1004,002,2,2020,A
4,McAllaster,Xaviera,15,W4111,001,1,2020,D
14,Wrankmore,Glen,14,W1004,004,2,2019,D
12,Purchall,Hadlee,2,W1007,001,1,2021,F
18,Mapplebeck,Gael,1,W1004,002,2,2020,A
8,Stirley,Rosamund,9,W3113,003,2,2019,B
11,Scheffel,Eldon,11,W4111,003,2,2019,A
2,Saffe,Puff,14,W1004,004,2,2019,D
6,Wybern,Reynolds,13,W4117,004,3,2021,C
8,Stirley,Rosamund,11,W4111,003,2,2019,C
3,Sewart,Jaquenette,1,W1004,002,2,2020,C
2,Saffe,Puff,11,W4111,003,2,2019,C
10,Feechum,Avictor,16,W4995,002,1,2022,C
11,Scheffel,Eldon,19,W1004,001,1,2020,C
9,Baddiley,Jens,4,W4236,001,2,2020,D
10,Feechum,Avictor,4,W4236,001,2,2020,D
11,Scheffel,Eldon,7,W1004,002,1,2020,B
2,Saffe,Puff,16,W4995,002,1,2022,B
15,Tapenden,Denver,13,W4117,004,3,2021,F
16,Bellany,Hertha,17,W4111,004,3,2020,C
7,O'Hartnedy,Andree,11,W4111,003,2,2019,A
7,O'Hartnedy,Andree,18,W4236,002,1,2021,A
5,Yakubovich,Jaclyn,3,W4236,002,1,2019,B
6,Wybern,Reynolds,19,W1004,001,1,2020,B
19,Upfold,Kailey,18,W4236,002,1,2021,C
7,O'Hartnedy,Andree,7,W1004,002,1,2020,D
8,Stirley,Rosamund,12,W1004,002,2,2020,B
7,O'Hartnedy,Andree,11,W4111,003,2,2019,B
19,Upfold,Kailey,8,W3203,004,2,2021,C
3,Sewart,Jaquenette,4,W4236,001,2,2020,B
12,Purchall,Hadlee,3,W4236,002,1,2019,C
10,Feechum,Avictor,12,W1004,002,2,2020,D
18,Mapplebeck,Gael,11,W4111,003,2,2019,D
13,Hatherill,Petronille,2,W1007,001,1,2021,C
15,Tapenden,Denver,7,W1004,002,1,2020,C
20,Duckworth,Noreen,2,W1007,001,1,2021,F
19,Upfold,Kailey,14,W1004,004,2,2019,D
9,Baddiley,Jens,3,W4236,002,1,2019,B
17,Richardeau,Harriett,18,W4236,002,1,2021,B
2,Saffe,Puff,17,W4111,004,3,2020,D
1,McDonald,Jarrid,15,W4111,001,1,2020,A
16,Bellany,Hertha,9,W3113,003,2,2019,A
13,Hatherill,Petronille,11,W4111,003,2,2019,C
8,Stirley,Rosamund,18,W4236,002,1,2021,D
11,Scheffel,Eldon,6,W3134,003,1,2020,D
8,Stirley,Rosamund,18,W4236,002,1,2021,A
13,Hatherill,Petronille,2,W1007,001,1,2021,B
16,Bellany,Hertha,9,W3113,003,2,2019,F
19,Upfold,Kailey,11,W4111,003,2,2019,A
10,Feechum,Avictor,18,W4236,002,1,2021,B
15,Tapenden,Denver,7,W1004,002,1,2020,C
18,Mapplebeck,Gael,18,W4236,002,1,2021,B
4,McAllaster,Xaviera,15,W4111,001,1,2020,B
2,Saffe,Puff,12,W1004,002,2,2020,B
13,Hatherill,Petronille,12,W1004,002,2,2020,A
8,Stirley,Rosamund,3,W4236,002,1,2019,A
7,O'Hartnedy,Andree,11,W4111,003,2,2019,B
12,Purchall,Hadlee,5,E6156,004,1,2022,F
19,Upfold,Kailey,19,W1004,001,1,2020,A
8,Stirley,Rosamund,18,W4236,002,1,2021,B
11,Scheffel,Eldon,11,W4111,003,2,2019,A
2,Saffe,Puff,1,W1004,002,2,2020,A
10,Feechum,Avictor,8,W3203,004,2,2021,A
16,Bellany,Hertha,20,W3134,003,1,2022,F
6,Wybern,Reynolds,2,W1007,001,1,2021,C
1,McDonald,Jarrid,6,W3134,003,1,2020,B
16,Bellany,Hertha,17,W4111,004,3,2020,D
6,Wybern,Reynolds,20,W3134,003,1,2022,F
1,McDonald,Jarrid,19,W1004,001,1,2020,D
19,Upfold,Kailey,5,E6156,004,1,2022,B
6,Wybern,Reynolds,9,W3113,003,2,2019,B
8,Stirley,Rosamund,19,W1004,001,1,2020,A
19,Upfold,Kailey,15,W4111,001,1,2020,B
12,Purchall,Hadlee,2,W1007,001,1,2021,A
11,Scheffel,Eldon,10,W3203,004,2,2022,A
4,McAllaster,Xaviera,10,W3203,004,2,2022,C
4,McAllaster,Xaviera,19,W1004,001,1,2020,C
1,McDonald,Jarrid,8,W3203,004,2,2021,F
9,Baddiley,Jens,11,W4111,003,2,2019,D
14,Wrankmore,Glen,7,W1004,002,1,2020,D
1,McDonald,Jarrid,6,W3134,003,1,2020,C
17,Richardeau,Harriett,5,E6156,004,1,2022,F
4,McAllaster,Xaviera,6,W3134,003,1,2020,C
2,Saffe,Puff,17,W4111,004,3,2020,D
10,Feechum,Avictor,19,W1004,001,1,2020,F
14,Wrankmore,Glen,1,W1004,002,2,2020,F
20,Duckworth,Noreen,18,W4236,002,1,2021,F
8,Stirley,Rosamund,17,W4111,004,3,2020,C
2,Saffe,Puff,3,W4236,002,1,2019,A
20,Duckworth,Noreen,17,W4111,004,3,2020,A
20,Duckworth,Noreen,18,W4236,002,1,2021,B
10,Feechum,Avictor,15,W4111,001,1,2020,C
20,Duckworth,Noreen,15,W4111,001,1,2020,A
5,Yakubovich,Jaclyn,3,W4236,002,1,2019,D
7,O'Hartnedy,Andree,15,W4111,001,1,2020,D
3,Sewart,Jaquenette,1,W1004,002,2,2020,A
10,Feechum,Avictor,16,W4995,002,1,2022,D
9,Baddiley,Jens,18,W4236,002,1,2021,A
14,Wrankmore,Glen,8,W3203,004,2,2021,B
18,Mapplebeck,Gael,6,W3134,003,1,2020,A
5,Yakubovich,Jaclyn,15,W4111,001,1,2020,B
6,Wybern,Reynolds,15,W4111,001,1,2020,B
11,Scheffel,Eldon,4,W4236,001,2,2020,C
9,Baddiley,Jens,12,W1004,002,2,2020,B
15,Tapenden,Denver,15,W4111,001,1,2020,B
9,Baddiley,Jens,18,W4236,002,1,2021,B
6,Wybern,Reynolds,1,W1004,002,2,2020,D
1,McDonald,Jarrid,10,W3203,004,2,2022,C
1,McDonald,Jarrid,5,E6156,004,1,2022,C
12,Purchall,Hadlee,13,W4117,004,3,2021,C
14,Wrankmore,Glen,7,W1004,002,1,2020,A
14,Wrankmore,Glen,5,E6156,004,1,2022,C
19,Upfold,Kailey,16,W4995,002,1,2022,F
19,Upfold,Kailey,10,W3203,004,2,2022,A
9,Baddiley,Jens,14,W1004,004,2,2019,C
9,Baddiley,Jens,11,W4111,003,2,2019,A
19,Upfold,Kailey,6,W3134,003,1,2020,B
8,Stirley,Rosamund,18,W4236,002,1,2021,C
1,McDonald,Jarrid,16,W4995,002,1,2022,C
7,O'Hartnedy,Andree,6,W3134,003,1,2020,A
13,Hatherill,Petronille,19,W1004,001,1,2020,F
8,Stirley,Rosamund,5,E6156,004,1,2022,A
20,Duckworth,Noreen,4,W4236,001,2,2020,A
5,Yakubovich,Jaclyn,9,W3113,003,2,2019,C
3,Sewart,Jaquenette,2,W1007,001,1,2021,C
9,Baddiley,Jens,9,W3113,003,2,2019,D
12,Purchall,Hadlee,6,W3134,003,1,2020,C
11,Scheffel,Eldon,18,W4236,002,1,2021,A
14,Wrankmore,Glen,9,W3113,003,2,2019,F
3,Sewart,Jaquenette,13,W4117,004,3,2021,C
13,Hatherill,Petronille,11,W4111,003,2,2019,F
10,Feechum,Avictor,7,W1004,002,1,2020,F
10,Feechum,Avictor,3,W4236,002,1,2019,F
15,Tapenden,Denver,4,W4236,001,2,2020,F
14,Wrankmore,Glen,13,W4117,004,3,2021,F
12,Purchall,Hadlee,2,W1007,001,1,2021,B
14,Wrankmore,Glen,8,W3203,004,2,2021,C
15,Tapenden,Denver,3,W4236,002,1,2019,A
9,Baddiley,Jens,10,W3203,004,2,2022,F
15,Tapenden,Denver,1,W1004,002,2,2020,C
8,Stirley,Rosamund,12,W1004,002,2,2020,A
20,Duckworth,Noreen,4,W4236,001,2,2020,B
20,Duckworth,Noreen,11,W4111,003,2,2019,B
17,Richardeau,Harriett,15,W4111,001,1,2020,B
3,Sewart,Jaquenette,5,E6156,004,1,2022,C
3,Sewart,Jaquenette,9,W3113,003,2,2019,C
2,Saffe,Puff,8,W3203,004,2,2021,B
9,Baddiley,Jens,16,W4995,002,1,2022,F
3,Sewart,Jaquenette,15,W4111,001,1,2020,D
15,Tapenden,Denver,10,W3203,004,2,2022,C
4,McAllaster,Xaviera,11,W4111,003,2,2019,F
11,Scheffel,Eldon,20,W3134,003,1,2022,C
13,Hatherill,Petronille,4,W4236,001,2,2020,F
8,Stirley,Rosamund,19,W1004,001,1,2020,B
18,Mapplebeck,Gael,4,W4236,001,2,2020,A
7,O'Hartnedy,Andree,13,W4117,004,3,2021,C
3,Sewart,Jaquenette,9,W3113,003,2,2019,D
5,Yakubovich,Jaclyn,19,W1004,001,1,2020,F
12,Purchall,Hadlee,17,W4111,004,3,2020,F
15,Tapenden,Denver,4,W4236,001,2,2020,B
20,Duckworth,Noreen,8,W3203,004,2,2021,D
6,Wybern,Reynolds,20,W3134,003,1,2022,C
11,Scheffel,Eldon,16,W4995,002,1,2022,D
4,McAllaster,Xaviera,5,E6156,004,1,2022,A
2,Saffe,Puff,9,W3113,003,2,2019,C
19,Upfold,Kailey,4,W4236,001,2,2020,B
18,Mapplebeck,Gael,9,W3113,003,2,2019,F
19,Upfold,Kailey,18,W4236,002,1,2021,F
9,Baddiley,Jens,8,W3203,004,2,2021,F
9,Baddiley,Jens,13,W4117,004,3,2021,B
13,Hatherill,Petronille,16,W4995,002,1,2022,F
17,Richardeau,Harriett,17,W4111,004,3,2020,A
12,Purchall,Hadlee,16,W4995,002,1,2022,B
14,Wrankmore,Glen,16,W4995,002,1,2022,F
15,Tapenden,Denver,6,W3134,003,1,2020,B
6,Wybern,Reynolds,20,W3134,003,1,2022,C
2,Saffe,Puff,15,W4111,001,1,2020,F
6,Wybern,Reynolds,6,W3134,003,1,2020,A
7,O'Hartnedy,Andree,11,W4111,003,2,2019,F
